# IO Moon 80188 -- code entry points for the 2026-09 baseline disassembly.
#
#   <flat-address>  <CS value>  <label>          # evidence
#
# Flat addresses are 80188 physical addresses.  ROM1 ("V1 3_01.bin") is
# mapped at 0x80000-0xFFFFF, so file offset = flat - 0x80000.  <CS value> is
# the segment register value the code runs under; it is needed so that near
# branch targets resolve inside the right segment (dasmxx 'g' command).
#
# Every line here was justified from the instruction stream itself -- see
# README.md for the evidence trail.  Labels are deliberately provisional and
# describe what was observed, not what the routine is assumed to mean.

# ---------------------------------------------------------------- reset path
FFFF0  FFFF  reset_vector                # 80188 power-on CS:IP = FFFF:0000
F1625  F000  sub_F1625  # dispatch, 1 site(s), first F1612
F166D  F000  sub_F166D  # dispatch, 1 site(s), first F16EB
F16B5  F000  sub_F16B5  # dispatch, 1 site(s), first F16A2
F179C  F000  sub_F179C  # dispatch, 3 site(s), first F173A
F1912  F000  sub_F1912  # dispatch, 1 site(s), first F194E
F1B60  F000  sub_F1B60  # dispatch, 1 site(s), first F1B95
F1BA8  F000  sub_F1BA8  # dispatch, 1 site(s), first F1BDD
F1BF0  F000  sub_F1BF0  # dispatch, 1 site(s), first F1C25
F1C38  F000  sub_F1C38  # dispatch, 1 site(s), first F1C6D
F1C80  F000  sub_F1C80  # dispatch, 1 site(s), first F1CB5
F1CC8  F000  sub_F1CC8  # dispatch, 1 site(s), first F1CFD
F1D10  F000  sub_F1D10  # dispatch, 1 site(s), first F1D4C
F1D5F  F000  sub_F1D5F  # dispatch, 1 site(s), first F1D9B
F1DFC  F000  sub_F1DFC  # dispatch, 2 site(s), first F1DE3
F1EA6  F000  sub_F1EA6  # dispatch, 2 site(s), first F1E8D
F1F50  F000  sub_F1F50  # dispatch, 2 site(s), first F1F37
F1FFA  F000  sub_F1FFA  # dispatch, 2 site(s), first F1FE1
F20A4  F000  sub_F20A4  # dispatch, 2 site(s), first F208B
F214E  F000  sub_F214E  # dispatch, 2 site(s), first F2135
F21F8  F000  sub_F21F8  # dispatch, 2 site(s), first F21DF
F22A2  F000  sub_F22A2  # dispatch, 2 site(s), first F2289
F234C  F000  sub_F234C  # dispatch, 2 site(s), first F2333
F23F6  F000  sub_F23F6  # dispatch, 2 site(s), first F23DD
F24A0  F000  sub_F24A0  # dispatch, 2 site(s), first F2487
F254A  F000  sub_F254A  # dispatch, 2 site(s), first F2531
F25F4  F000  sub_F25F4  # dispatch, 2 site(s), first F25DB
F269E  F000  sub_F269E  # dispatch, 2 site(s), first F2685
F2748  F000  sub_F2748  # dispatch, 2 site(s), first F272F
F27F2  F000  sub_F27F2  # dispatch, 2 site(s), first F27D9
F289C  F000  sub_F289C  # dispatch, 2 site(s), first F2883
F2946  F000  sub_F2946  # dispatch, 2 site(s), first F292D
F29F0  F000  sub_F29F0  # dispatch, 2 site(s), first F29D7
F2A9A  F000  sub_F2A9A  # dispatch, 2 site(s), first F2A81
F2B45  F000  sub_F2B45  # dispatch, 1 site(s), first F2B32
F2BDC  F000  sub_F2BDC  # dispatch, 1 site(s), first F2BC9
F2C2B  F000  sub_F2C2B  # dispatch, 1 site(s), first F2C18
F2C7C  F000  sub_F2C7C  # dispatch, 46 site(s), first F1374
F2C83  F000  sub_F2C83  # dispatch, 8 site(s), first F1654
F2CBC  F000  sub_F2CBC  # dispatch, 10 site(s), first F13B8
F2CF5  F000  sub_F2CF5  # dispatch, 73 site(s), first F136E
F2D2C  F000  sub_F2D2C  # dispatch, 2 site(s), first F1A27
F2D67  F000  sub_F2D67  # dispatch, 31 site(s), first F1CAF
F2DA2  F000  sub_F2DA2  # dispatch, 5 site(s), first F3198
F2E36  F000  sub_F2E36  # dispatch, 6 site(s), first F4551
F2E7D  F000  sub_F2E7D  # dispatch, 12 site(s), first F420A
F2F55  F000  sub_F2F55  # dispatch, 3 site(s), first F2F02
F2F7F  F000  sub_F2F7F  # dispatch, 2 site(s), first F2F3C
F305D  F000  sub_F305D  # dispatch, 1 site(s), first F304A
F3097  F000  sub_F3097  # dispatch, 1 site(s), first F3084
F30E3  F000  sub_F30E3  # dispatch, 1 site(s), first F30D0
F311D  F000  sub_F311D  # dispatch, 1 site(s), first F310A
F31B1  F000  sub_F31B1  # dispatch, 1 site(s), first F319E
F31F9  F000  sub_F31F9  # dispatch, 1 site(s), first F31E6
F3241  F000  sub_F3241  # dispatch, 1 site(s), first F32C6
F328D  F000  sub_F328D  # dispatch, 1 site(s), first F327A
F32D9  F000  sub_F32D9  # dispatch, 1 site(s), first F335E
F3325  F000  sub_F3325  # dispatch, 1 site(s), first F3312
F3384  F000  sub_F3384  # dispatch, 7 site(s), first F0F21
F33A3  F000  sub_F33A3  # dispatch, 9 site(s), first F0F1B
F359B  F000  sub_F359B  # dispatch, 2 site(s), first F3072
F37F1  F000  sub_F37F1  # dispatch, 1 site(s), first F37DE
F3839  F000  sub_F3839  # dispatch, 1 site(s), first F3826
F38D5  F000  sub_F38D5  # dispatch, 1 site(s), first F38C2
F391D  F000  sub_F391D  # dispatch, 1 site(s), first F390A
F3966  F000  sub_F3966  # dispatch, 1 site(s), first F3953
F39BC  F000  sub_F39BC  # dispatch, 1 site(s), first F39A9
F3A04  F000  sub_F3A04  # dispatch, 1 site(s), first F39F1
F3A4C  F000  sub_F3A4C  # dispatch, 1 site(s), first F3A39
F3A94  F000  sub_F3A94  # dispatch, 1 site(s), first F3A81
F3ADC  F000  sub_F3ADC  # dispatch, 1 site(s), first F3AC9
F3B24  F000  sub_F3B24  # dispatch, 1 site(s), first F386F
F3B7A  F000  sub_F3B7A  # dispatch, 1 site(s), first F3B67
F3BC2  F000  sub_F3BC2  # dispatch, 1 site(s), first F3BAF
F3C0A  F000  sub_F3C0A  # dispatch, 1 site(s), first F3BF7
F3C52  F000  sub_F3C52  # dispatch, 1 site(s), first F3C3F
F3C9A  F000  sub_F3C9A  # dispatch, 2 site(s), first F3B11
F3CFA  F000  sub_F3CFA  # dispatch, 1 site(s), first F3CE7
F3D60  F000  sub_F3D60  # dispatch, 1 site(s), first F3D4D
F3DA8  F000  sub_F3DA8  # dispatch, 1 site(s), first F3D95
F3E80  F000  sub_F3E80  # dispatch, 1 site(s), first F3E6D
F3EA4  F000  sub_F3EA4  # dispatch, 1 site(s), first F3E9C
F3EEC  F000  sub_F3EEC  # dispatch, 1 site(s), first F3ED9
F3F10  F000  sub_F3F10  # dispatch, 1 site(s), first F3F08
F3F58  F000  sub_F3F58  # dispatch, 1 site(s), first F3F45
F3FA3  F000  sub_F3FA3  # dispatch, 1 site(s), first F3F90
F4025  F000  sub_F4025  # dispatch, 1 site(s), first F4012
F4049  F000  sub_F4049  # dispatch, 1 site(s), first F4041
F4091  F000  sub_F4091  # dispatch, 1 site(s), first F407E
F40B5  F000  sub_F40B5  # dispatch, 1 site(s), first F40AD
F40FD  F000  sub_F40FD  # dispatch, 1 site(s), first F40EA
F4148  F000  sub_F4148  # dispatch, 1 site(s), first F4135
F4160  F000  sub_F4160  # dispatch, 2 site(s), first F48D4
F41CD  F000  sub_F41CD  # dispatch, 1 site(s), first F41BA
F4223  F000  sub_F4223  # dispatch, 1 site(s), first F4210
F4244  F000  sub_F4244  # dispatch, 1 site(s), first F423C
F428F  F000  sub_F428F  # dispatch, 1 site(s), first F427C
F42E5  F000  sub_F42E5  # dispatch, 1 site(s), first F42D2
F4306  F000  sub_F4306  # dispatch, 1 site(s), first F42FE
F4351  F000  sub_F4351  # dispatch, 1 site(s), first F433E
F43A7  F000  sub_F43A7  # dispatch, 1 site(s), first F4394
F43C8  F000  sub_F43C8  # dispatch, 1 site(s), first F43C0
F4455  F000  sub_F4455  # dispatch, 1 site(s), first F4442
F44A8  F000  sub_F44A8  # dispatch, 1 site(s), first F4495
F4511  F000  sub_F4511  # dispatch, 1 site(s), first F44FE
F456A  F000  sub_F456A  # dispatch, 1 site(s), first F4557
F45C0  F000  sub_F45C0  # dispatch, 1 site(s), first F45AD
F45E1  F000  sub_F45E1  # dispatch, 1 site(s), first F45D9
F463A  F000  sub_F463A  # dispatch, 1 site(s), first F4627
F4690  F000  sub_F4690  # dispatch, 1 site(s), first F467D
F46B1  F000  sub_F46B1  # dispatch, 1 site(s), first F46A9
F470A  F000  sub_F470A  # dispatch, 1 site(s), first F46F7
F4760  F000  sub_F4760  # dispatch, 1 site(s), first F474D
F4781  F000  sub_F4781  # dispatch, 1 site(s), first F4779
F47E4  F000  sub_F47E4  # dispatch, 1 site(s), first F47D1
F4837  F000  sub_F4837  # dispatch, 1 site(s), first F4824
F487F  F000  sub_F487F  # dispatch, 1 site(s), first F486C
F4928  F000  sub_F4928  # dispatch, 2 site(s), first F509F
F4995  F000  sub_F4995  # dispatch, 1 site(s), first F4982
F49EB  F000  sub_F49EB  # dispatch, 1 site(s), first F49D8
F4A0C  F000  sub_F4A0C  # dispatch, 1 site(s), first F4A04
F4A57  F000  sub_F4A57  # dispatch, 1 site(s), first F4A44
F4AAD  F000  sub_F4AAD  # dispatch, 1 site(s), first F4A9A
F4ACE  F000  sub_F4ACE  # dispatch, 1 site(s), first F4AC6
F4B19  F000  sub_F4B19  # dispatch, 1 site(s), first F4B06
F4B6F  F000  sub_F4B6F  # dispatch, 1 site(s), first F4B5C
F4B90  F000  sub_F4B90  # dispatch, 1 site(s), first F4B88
F4C1D  F000  sub_F4C1D  # dispatch, 1 site(s), first F4C0A
F4C70  F000  sub_F4C70  # dispatch, 1 site(s), first F4C5D
F4CD9  F000  sub_F4CD9  # dispatch, 1 site(s), first F4CC6
F4D32  F000  sub_F4D32  # dispatch, 1 site(s), first F4D1F
F4D88  F000  sub_F4D88  # dispatch, 1 site(s), first F4D75
F4DA9  F000  sub_F4DA9  # dispatch, 1 site(s), first F4DA1
F4E02  F000  sub_F4E02  # dispatch, 1 site(s), first F4DEF
F4E58  F000  sub_F4E58  # dispatch, 1 site(s), first F4E45
F4E79  F000  sub_F4E79  # dispatch, 1 site(s), first F4E71
F4ED2  F000  sub_F4ED2  # dispatch, 1 site(s), first F4EBF
F4F28  F000  sub_F4F28  # dispatch, 1 site(s), first F4F15
F4F49  F000  sub_F4F49  # dispatch, 1 site(s), first F4F41
F4FAF  F000  sub_F4FAF  # dispatch, 1 site(s), first F4F9C
F5002  F000  sub_F5002  # dispatch, 1 site(s), first F4FEF
F504A  F000  sub_F504A  # dispatch, 1 site(s), first F5037
F50FE  F000  sub_F50FE  # dispatch, 21 site(s), first F3E96
F510F  F000  sub_F510F  # dispatch, 4 site(s), first F3DDD

# --- pass 1: scanptr.py prologue
F1388  F000  sub_F1388  # prologue, 1 site(s), first F1388
F13D1  F000  sub_F13D1  # prologue, 1 site(s), first F13D1
F141A  F000  sub_F141A  # prologue, 1 site(s), first F141A
F1463  F000  sub_F1463  # prologue, 1 site(s), first F1463
F14AC  F000  sub_F14AC  # prologue, 1 site(s), first F14AC
F14F5  F000  sub_F14F5  # prologue, 1 site(s), first F14F5
F153E  F000  sub_F153E  # prologue, 1 site(s), first F153E
F158D  F000  sub_F158D  # prologue, 1 site(s), first F158D
F16FE  F000  sub_F16FE  # prologue, 1 site(s), first F16FE
F174D  F000  sub_F174D  # prologue, 1 site(s), first F174D
F17EB  F000  sub_F17EB  # prologue, 1 site(s), first F17EB
F1833  F000  sub_F1833  # prologue, 1 site(s), first F1833
F1882  F000  sub_F1882  # prologue, 1 site(s), first F1882
F18CA  F000  sub_F18CA  # prologue, 1 site(s), first F18CA
F1961  F000  sub_F1961  # prologue, 1 site(s), first F1961
F19B0  F000  sub_F19B0  # prologue, 1 site(s), first F19B0
F19F8  F000  sub_F19F8  # prologue, 1 site(s), first F19F8
F1A40  F000  sub_F1A40  # prologue, 1 site(s), first F1A40
F1A88  F000  sub_F1A88  # prologue, 1 site(s), first F1A88
F1AD0  F000  sub_F1AD0  # prologue, 1 site(s), first F1AD0
F1B18  F000  sub_F1B18  # prologue, 1 site(s), first F1B18
F1DAE  F000  sub_F1DAE  # prologue, 1 site(s), first F1DAE
F1E58  F000  sub_F1E58  # prologue, 1 site(s), first F1E58
F1F02  F000  sub_F1F02  # prologue, 1 site(s), first F1F02
F1FAC  F000  sub_F1FAC  # prologue, 1 site(s), first F1FAC
F2056  F000  sub_F2056  # prologue, 1 site(s), first F2056
F2100  F000  sub_F2100  # prologue, 1 site(s), first F2100
F21AA  F000  sub_F21AA  # prologue, 1 site(s), first F21AA
F2254  F000  sub_F2254  # prologue, 1 site(s), first F2254
F22FE  F000  sub_F22FE  # prologue, 1 site(s), first F22FE
F23A8  F000  sub_F23A8  # prologue, 1 site(s), first F23A8
F2452  F000  sub_F2452  # prologue, 1 site(s), first F2452
F24FC  F000  sub_F24FC  # prologue, 1 site(s), first F24FC
F25A6  F000  sub_F25A6  # prologue, 1 site(s), first F25A6
F2650  F000  sub_F2650  # prologue, 1 site(s), first F2650
F26FA  F000  sub_F26FA  # prologue, 1 site(s), first F26FA
F27A4  F000  sub_F27A4  # prologue, 1 site(s), first F27A4
F284E  F000  sub_F284E  # prologue, 1 site(s), first F284E
F28F8  F000  sub_F28F8  # prologue, 1 site(s), first F28F8
F29A2  F000  sub_F29A2  # prologue, 1 site(s), first F29A2
F2A4C  F000  sub_F2A4C  # prologue, 1 site(s), first F2A4C
F2AF6  F000  sub_F2AF6  # prologue, 1 site(s), first F2AF6
F2B94  F000  sub_F2B94  # prologue, 1 site(s), first F2B94
F2EC4  F000  sub_F2EC4  # prologue, 1 site(s), first F2EC4
F2F1B  F000  sub_F2F1B  # prologue, 1 site(s), first F2F1B
F2FB1  F000  sub_F2FB1  # prologue, 1 site(s), first F2FB1
F3011  F000  sub_F3011  # prologue, 1 site(s), first F3011
F3169  F000  sub_F3169  # prologue, 1 site(s), first F3169
F37A9  F000  sub_F37A9  # prologue, 1 site(s), first F37A9
F388D  F000  sub_F388D  # prologue, 1 site(s), first F388D
F3E38  F000  sub_F3E38  # prologue, 1 site(s), first F3E38
F3FDD  F000  sub_F3FDD  # prologue, 1 site(s), first F3FDD
F4185  F000  sub_F4185  # prologue, 1 site(s), first F4185
F4406  F000  sub_F4406  # prologue, 1 site(s), first F4406
F4795  F000  sub_F4795  # prologue, 1 site(s), first F4795
F494D  F000  sub_F494D  # prologue, 1 site(s), first F494D
F4BCE  F000  sub_F4BCE  # prologue, 1 site(s), first F4BCE
F4F60  F000  sub_F4F60  # prologue, 1 site(s), first F4F60

# --- round r2: 83 targets reached by CALL/JMP from already-decoded code
D046D  D000  sub_D046D  # CALL from D65D9 (+16 more)
D0492  D000  sub_D0492  # CALL from D6702 (+4 more)
D04D2  D000  sub_D04D2  # CALL from D66AB (+1 more)
D04F3  D000  sub_D04F3  # CALL from D66B3 (+1 more)
D0514  D000  sub_D0514  # CALL from D66C4 (+1 more)
D0549  D000  sub_D0549  # CALL from D66A2
D057E  D000  sub_D057E  # CALL from D04C6 (+1 more)
D059F  D000  sub_D059F  # CALL from D04CC (+1 more)
D05C0  D000  sub_D05C0  # CALL from D6247 (+1 more)
D06E2  D000  sub_D06E2  # CALL from D6242
D08C9  D000  sub_D08C9  # CALL from D6256
D08FF  D000  sub_D08FF  # CALL from D663B
D0B70  D000  sub_D0B70  # CALL from F2C2E
D0CE2  D000  sub_D0CE2  # CALL from D0CA6 (+1 more)
D0DA9  D000  sub_D0DA9  # CALL from D0DA5 (+1 more)
D3251  D2F2  sub_D3251  # CALL from D3058
D32FB  D2F2  sub_D32FB  # CALL from D30C3
D368C  D2F2  sub_D368C  # CALL from D31D3
D36F1  D2F2  sub_D36F1  # CALL from D31A7
D3751  D2F2  sub_D3751  # CALL from D31B5
D37A1  D2F2  sub_D37A1  # CALL from D31BC
D380E  D2F2  sub_D380E  # CALL from D31CE
D3856  D2F2  sub_D3856  # CALL from D31F0
D38C3  D2F2  sub_D38C3  # CALL from D31FE
D3920  D2F2  sub_D3920  # CALL from D31F5
D449D  D2F2  sub_D449D  # CALL from D31DC
D46F8  D2F2  sub_D46F8  # CALL from D3237
D536C  D2F2  sub_D536C  # CALL from D65FB (+2 more)
D53C9  D2F2  sub_D53C9  # CALL from D623F
D54E6  D2F2  sub_D54E6  # CALL from D5A84
D5543  D2F2  sub_D5543  # CALL from D6679
D5608  D2F2  sub_D5608  # CALL from D51E7
D565F  D2F2  sub_D565F  # CALL from D642E (+4 more)
D5729  D2F2  sub_D5729  # CALL from DD299
D5A8B  D2F2  sub_D5A8B  # CALL from D6641 (+1 more)
D5B5D  D2F2  sub_D5B5D  # CALL from D54C7
D5D8D  D2F2  sub_D5D8D  # CALL from D5AE0
D5F03  D2F2  sub_D5F03  # CALL from D5A60
D6757  D2F2  sub_D6757  # CALL from D6750
D69CC  D2F2  sub_D69CC  # CALL from D6673 (+1 more)
D6A36  D2F2  sub_D6A36  # CALL from D6681
D72AA  D72A  sub_D72AA  # CALL from D54D2
D7636  D72A  sub_D7636  # CALL from D31AC
D7ABC  D72A  sub_D7ABC  # CALL from D305D
DC74B  D72A  sub_DC74B  # CALL from D3203
DC7D7  D72A  sub_DC7D7  # CALL from D3120
DC9C0  D72A  sub_DC9C0  # CALL from D641F (+7 more)
DCD29  D72A  sub_DCD29  # CALL from D30B3
DD2E6  DD25  sub_DD2E6  # CALL from DD294
E0D23  DD25  sub_E0D23  # CALL from D5EF7
F00A0  F000  sub_F00A0  # CALL from F4F6A (+16 more)
F00E0  F000  sub_F00E0  # CALL from F4C72 (+2 more)
F01C3  F000  sub_F01C3  # CALL from F4C83 (+2 more)
F01E4  F000  sub_F01E4  # CALL from F1228 (+9 more)
F02C3  F000  sub_F02C3  # CALL from F4C86 (+2 more)
F02E9  F000  sub_F02E9  # CALL from F122B (+6 more)
F0348  F000  sub_F0348  # CALL from F5011 (+141 more)
F036D  F000  sub_F036D  # CALL from F2F97 (+4 more)
F039E  F000  sub_F039E  # CALL from F33BB (+2 more)
F03D4  F000  sub_F03D4  # CALL from F2DBA
F0564  F000  sub_F0564  # CALL from F1085 (+2 more)
F0701  F000  sub_F0701  # CALL from F50D2 (+7 more)
F0849  F000  sub_F0849  # CALL from F2E79
F0877  F000  sub_F0877  # CALL from F2EC0
F0907  F000  sub_F0907  # CALL from D5179 (+2 more)
F0CCB  F000  sub_F0CCB  # CALL from D5181
F0D3F  F000  sub_F0D3F  # CALL from D5194
F0DC0  F000  sub_F0DC0  # CALL from D519A
F0DF5  F000  sub_F0DF5  # CALL from D51BA
F0E96  F000  sub_F0E96  # CALL from D51C0
F0F29  F000  sub_F0F29  # CALL from F4149 (+1 more)
F0F73  F000  sub_F0F73  # CALL from D51C8 (+1 more)
F0FDE  F000  sub_F0FDE  # CALL from D51CE
F0FFA  F000  sub_F0FFA  # CALL from D30EA
F108E  F000  sub_F108E  # CALL from D51AD
F10E5  F000  sub_F10E5  # CALL from D51B3
F111A  F000  sub_F111A  # CALL from D51D5
F123D  F000  sub_F123D  # CALL from D51DB
F3371  F000  sub_F3371  # CALL from F3333 (+9 more)
F379E  F000  sub_F379E  # CALL from F4BCA (+1 more)
F3882  F000  sub_F3882  # CALL from F4F5C (+3 more)
F3FBC  F000  sub_F3FBC  # CALL from F414D (+1 more)
F5114  F000  sub_F5114  # CALL from F50B2 (+28 more)

# --- pass 2: jumptab.py
DD30D  DD25  sub_DD30D  # jump-table entry, 1 table(s), first DD308
DD31C  DD25  sub_DD31C  # jump-table entry, 1 table(s), first DD308
DD327  DD25  sub_DD327  # jump-table entry, 1 table(s), first DD308
DD332  DD25  sub_DD332  # jump-table entry, 1 table(s), first DD308
DD33D  DD25  sub_DD33D  # jump-table entry, 1 table(s), first DD308
DD348  DD25  sub_DD348  # jump-table entry, 1 table(s), first DD308
DD353  DD25  sub_DD353  # jump-table entry, 1 table(s), first DD308
DD35E  DD25  sub_DD35E  # jump-table entry, 1 table(s), first DD308
DD369  DD25  sub_DD369  # jump-table entry, 1 table(s), first DD308
DD377  DD25  sub_DD377  # jump-table entry, 1 table(s), first DD308
DD385  DD25  sub_DD385  # jump-table entry, 1 table(s), first DD308
DD3B0  DD25  sub_DD3B0  # jump-table entry, 1 table(s), first DD308
DD3BF  DD25  sub_DD3BF  # jump-table entry, 1 table(s), first DD308
DD3CE  DD25  sub_DD3CE  # jump-table entry, 1 table(s), first DD308

# --- round r3: 107 targets reached by CALL/JMP from already-decoded code
D03C0  D000  sub_D03C0  # CALL from D08DB
D0957  D000  sub_D0957  # CALL from D08CA
D0978  D000  sub_D0978  # CALL from D08CF
D0B16  D000  sub_D0B16  # CALL from D0921 (+1 more)
D0B22  D000  sub_D0B22  # CALL from D0937
D0CB8  D000  sub_D0CB8  # CALL from D0BBE
D33A5  D2F2  sub_D33A5  # CALL from DC7F0
D34F4  D2F2  sub_D34F4  # CALL from D3975 (+1 more)
D3CDB  D2F2  sub_D3CDB  # CALL from D3926
D4626  D2F2  sub_D4626  # CALL from D3A92
D4884  D2F2  sub_D4884  # CALL from D4711
D48DA  D2F2  sub_D48DA  # CALL from D475B
D4ABC  D2F2  sub_D4ABC  # CALL from D4798
D4C1A  D2F2  sub_D4C1A  # CALL from D47D5
D4CF4  D2F2  sub_D4CF4  # CALL from D47F2
D51EF  D2F2  sub_D51EF  # CALL from DC756
D5911  D2F2  sub_D5911  # CALL from D4862
D5AEB  D2F2  sub_D5AEB  # CALL from D5449
D5C3E  D2F2  sub_D5C3E  # CALL from D5AA6
D6BAE  D2F2  sub_D6BAE  # CALL from D6A21
D6D36  D2F2  sub_D6D36  # CALL from D6A1C
D6DDF  D2F2  sub_D6DDF  # CALL from D69EB
D6E88  D2F2  sub_D6E88  # CALL from D69F2
D6F2F  D2F2  sub_D6F2F  # CALL from D69F9
D6FD5  D2F2  sub_D6FD5  # CALL from D6A00
D707E  D2F2  sub_D707E  # CALL from D6A07
D715C  D2F2  sub_D715C  # CALL from D6A0E
D7204  D2F2  sub_D7204  # CALL from D6A15
D72F2  D72A  sub_D72F2  # CALL from DC808 (+3 more)
D7453  D72A  sub_D7453  # CALL from D763D
D74FF  D72A  sub_D74FF  # CALL from D7AC3
D7835  D72A  sub_D7835  # CALL from DC8ED (+1 more)
D7A12  D72A  sub_D7A12  # CALL from DC79B
D7B7A  D72A  sub_D7B7A  # CALL from DC831
D8066  D72A  sub_D8066  # CALL from D7ADF
D82CA  D72A  sub_D82CA  # CALL from D766E
D83B6  D72A  sub_D83B6  # CALL from D7676
D840B  D72A  sub_D840B  # CALL from D767E
D8473  D72A  sub_D8473  # CALL from D7686
D84C8  D72A  sub_D84C8  # CALL from D76AE
D8590  D72A  sub_D8590  # CALL from D768E
D85EB  D72A  sub_D85EB  # CALL from D7696
D867F  D72A  sub_D867F  # CALL from D769E
D8713  D72A  sub_D8713  # CALL from D76A6
D878B  D72A  sub_D878B  # CALL from D76B6
D890F  D72A  sub_D890F  # CALL from D76BE
D89B5  D72A  sub_D89B5  # CALL from D7705
D8A7C  D72A  sub_D8A7C  # CALL from D774B
D8B30  D72A  sub_D8B30  # CALL from D7752
D8C71  D72A  sub_D8C71  # CALL from D7759
D8E09  D72A  sub_D8E09  # CALL from D7760
D8E3F  D72A  sub_D8E3F  # CALL from D7767
D9111  D72A  sub_D9111  # CALL from D776E
D9124  D72A  sub_D9124  # CALL from D7775
D915A  D72A  sub_D915A  # CALL from D777C
D92C0  D72A  sub_D92C0  # CALL from D7666
D93B2  D72A  sub_D93B2  # CALL from D7783
